0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
JNPR,1.0014,0.9766,0.9532,0.8576,1.0114,0.9693,0.9517,1.025,1.2314,0.8431,1.6581,1.0078,1.0919,0.8378,0.7111,0.6806,0.9636,0.3394,0.6467,0.401,0.3699,0.3637,0.5158,0.6029
KEYS,0.741,0.6522,0.7037,0.7403,0.9586,1.0367,0.9554,0.7361,0.9843,1.2675,1.76,0.7716,1.8092,1.2985,1.4876,1.5087,0.7896,1.4014,1.6019,1.2979,1.2808,1.2295,1.4134,1.5391
KLAC,1.0648,0.7768,0.797,0.756,0.8404,1.0599,1.1665,0.744,1.5548,1.599,1.8243,1.0454,1.7838,1.7258,1.761,1.7547,0.7978,1.6552,1.7693,1.6558,1.6335,1.4963,1.7659,1.8048
LDOS,0.7011,0.469,0.4349,0.4428,0.5602,0.5018,0.6817,0.4873,0.3399,1.0563,0.4967,0.7005,0.5336,1.0489,1.0725,1.092,0.51,1.3754,1.131,1.3033,1.4795,1.2185,1.2915,1.2065
LRCX,1.0672,0.7222,0.7536,0.739,0.8666,1.0406,1.528,0.9876,1.4059,1.8436,1.7209,1.0503,1.9629,1.9748,1.8401,1.8232,0.9278,1.6183,1.702,1.5015,1.7179,1.4372,1.7921,1.7181
MA,1.2951,1.2786,1.2073,1.1967,1.0664,0.9691,1.0096,1.0663,0.7267,0.7812,0.4682,1.2988,0.6947,0.7743,0.9458,0.9726,1.0859,1.1828,1.0271,1.1737,1.1976,1.0857,1.0757,0.9949
MCHP,1.7546,1.6142,1.6493,1.6483,1.7874,1.8884,1.9033,1.7248,1.8504,1.4931,2.4596,1.7273,2.1169,1.5825,1.7524,1.7383,1.8618,1.2899,1.5805,1.2366,1.4526,1.2005,1.5857,1.5535
MSFT,0.6158,0.6935,0.6633,0.5937,0.6085,0.6895,0.6958,0.5641,0.9262,0.8667,0.9589,0.612,0.7306,0.8617,0.9071,0.9162,0.6176,0.9137,0.9417,0.9301,0.9729,0.8743,0.9717,0.962
MSI,0.7965,0.7993,0.8182,0.8879,0.8111,0.7724,0.865,0.7087,0.3089,0.6749,0.2342,0.7893,0.174,0.7232,0.8149,0.8521,0.7342,1.0351,0.9159,1.0498,1.0037,0.7318,0.8692,0.9128
MU,0.9733,0.6806,0.7439,0.8111,1.1473,1.4459,1.6566,0.9589,1.6513,2.1699,2.3756,1.0062,2.3796,2.2521,2.2217,2.2544,1.0586,2.1596,2.2481,2.013,2.0867,1.7401,2.0524,2.1918
MXIM,1.0111,0.8799,0.9039,0.9171,1.042,1.101,1.2658,1.0345,1.4808,1.2631,1.7939,1.0083,1.5266,1.3597,1.4056,1.3906,0.9727,1.1024,1.322,1.0826,1.1898,1.0393,1.2298,1.3274
NLOK,0.1948,0.5136,0.4857,0.3594,0.4139,0.7392,0.7202,0.2793,1.0018,1.7963,2.0561,0.2361,1.9773,0,0,0,0.2497,0,0,0,0,0,0,0
NOW,0.923,1.1108,1.1009,1.1137,1.1294,1.0935,0.9355,1.1855,0.812,1.251,0.9013,0.9105,1.5899,1.1732,1.2164,1.2446,1.1965,1.4009,1.2385,1.3719,1.4142,1.2334,1.3463,1.2066
NTAP,1.0157,0.8324,0.8738,0.8426,0.9425,1.0695,1.3105,0.9243,1.9265,1.5444,2.3222,1.0931,1.9228,1.4606,1.2793,1.2361,0.9393,1.0039,1.2437,0.9578,1.0287,0.9683,1.295,1.2321
NVDA,0.5776,0.7131,0.6342,0.5818,0.5903,0.8504,0.9586,0.4883,1.367,2.1128,2.7677,0.533,2.1781,2.0544,2.1626,2.1483,0.4696,2.0465,2.2997,1.9708,1.988,1.7993,2.1041,2.2878
ORCL,0.3832,0.4224,0.3913,0.4433,0.6059,0.6815,0.6538,0.4936,1.087,1.2029,1.3617,0.4282,1.4243,1.2145,1.1389,1.1266,0.5087,0.9504,1.0551,1.0323,0.9326,1.009,1.0106,1.088
PAYC,1.3851,1.583,1.6805,1.7838,1.9178,1.7117,1.5782,1.8171,0.9118,1.2551,0.5985,1.3955,1.1128,1.0457,1.4086,1.4938,2.0162,2.3263,1.8179,2.2405,2.2532,1.984,2.0333,1.7845
PAYX,0.9097,0.8626,0.9035,0.9931,0.9236,0.7584,0.8003,0.9638,0.3525,0.5367,-0.0259,0.8996,0.2439,0.5564,0.7365,0.7407,1.0463,1.2088,0.75,1.2514,1.181,1.2287,0.9644,0.736
PYPL,1.3292,1.4104,1.3636,1.3491,1.3505,1.1315,0.7176,1.4747,0.6224,0.5664,0.6858,1.3342,0.686,0.5632,0.6005,0.6287,1.4639,0.716,0.691,0.759,0.7437,0.7481,0.7153,0.6601
QCOM,1.1828,1.139,1.1669,1.1839,1.0745,1.3139,1.9261,1.109,2.485,1.1305,3.0112,1.1657,1.5344,1.136,1.2772,1.2978,1.0317,0.4675,1.3573,0.5918,0.9877,0.5079,1.3812,1.4217
QRVO,1.3957,1.4158,1.4108,1.4373,1.5349,1.7375,1.8701,1.6222,1.9895,1.5783,2.5457,1.3831,1.8965,1.3354,1.173,1.1636,1.5967,0.8667,1.1278,0.9678,0.879,0.6832,1.0461,1.1103
